trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.85}",30,0,-79.26407820507026,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.7999999999999999}",25,0,-51.58621034683098,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.7499999999999999}",20,13,-3.1718894961835775,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.4, 'e': 0.6999999999999998}",25,0,-90.82278310385655,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.6499999999999998}",25,0,-127.05354740603906,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.5999999999999998}",35,0,-90.98953842226305,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.5499999999999997}",20,0,-63.239825537771836,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.4999999999999997}",20,0,-16.543312640698282,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.44999999999999973}",20,0,-8.434080529682943,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.39999999999999974}",25,0,-59.71674475576055,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.34999999999999976}",30,0,-139.25692492474195,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.29999999999999977}",25,0,-61.31192346624142,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.24999999999999978}",20,0,-37.356494850933274,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.1999999999999998}",25,0,-66.26112877736378,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.1499999999999998}",25,11,10.311327139808055,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.0999999999999998}",25,0,29.780164697409425,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.049999999999999795}",20,0,-11.03849267685825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': -2.0816681711721685e-16}",20,0,24.86472231535415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': -0.05000000000000021}",20,1,26.42754866939945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.4, 'e': -0.10000000000000021}",20,0,24.96462350926243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,13,-22.512596759523912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,19,8.067062601462624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-9.405191641782382,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-26.706325334482656,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.67566649353118,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,10,11.80624555583541,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,33.18946846657202,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,16,-8.854479396191024,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,-20.57278183565291,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,16.431979893845558,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
