trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.999}",25,0,-66.39754436029638,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.998001}",25,0,-115.16660153048697,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.997002999}",25,0,-118.54859502438704,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.996005996001}",25,0,-134.34353823257985,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.995009990004999}",20,0,-113.98037907330507,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.994014980014994}",20,0,-107.33612582753294,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.993020965034979}",25,0,-159.37733383955398,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.992027944069944}",20,0,-103.9153585612617,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.991035916125874}",30,0,-148.4276356006843,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9900448802097482}",20,0,-140.84308535498832,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9890548353295384}",20,0,-110.04675627940752,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.9880657804942089}",20,0,-27.339832544205514,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9870777147137147}",20,3,-148.0219219044876,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 2}",1
14,False,"{'a': 0.4, 'e': 0.986090636999001}",25,0,-97.48381900564416,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.985104546362002}",20,6,-12.504937140151432,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.9841194418156399}",30,15,-53.567171914176974,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.9831353223738244}",30,0,-170.13632013502848,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.4, 'e': 0.9821521870514505}",30,0,-165.85358781797333,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.4, 'e': 0.981170034864399}",20,0,-144.2143901788738,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.4, 'e': 0.9801888648295347}",20,0,-225.89392693953766,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
21,False,"{'a': 0.4, 'e': 0.9792086759647052}",20,0,-145.74688747411093,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9782294672887404}",30,0,-116.07827450540734,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.9772512378214517}",20,0,-42.46238225260761,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9762739865836302}",20,0,-161.80375311061346,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.4, 'e': 0.9752977125970466}",25,0,-50.825833260429064,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.4, 'e': 0.9743224148844496}",20,0,-117.58621778004793,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.9733480924695651}",30,0,-189.57859460313063,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
28,False,"{'a': 0.4, 'e': 0.9723747443770956}",20,0,-130.29900883977638,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.9714023696327184}",25,0,-142.68430053737325,"{0: 11, 1: 1, 2: 12, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.9704309672630858}",25,1,-63.43771441645921,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 0}",1
31,False,"{'a': 0.4, 'e': 0.9694605362958226}",30,0,-199.98651428995103,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
32,False,"{'a': 0.4, 'e': 0.9684910757595268}",20,0,-86.951684011911,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.4, 'e': 0.9675225846837673}",35,0,-282.30629910814184,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 5}",0
34,False,"{'a': 0.4, 'e': 0.9665550620990835}",25,0,-110.14805590675998,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.4, 'e': 0.9655885070369844}",20,0,-158.6228161428499,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.4, 'e': 0.9646229185299474}",30,0,-67.28555240107481,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.9636582956114175}",30,1,-112.18904066370528,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 2}",1
38,False,"{'a': 0.4, 'e': 0.9626946373158061}",25,3,-83.18156166559736,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 0}",1
39,False,"{'a': 0.4, 'e': 0.9617319426784903}",25,0,-157.4623589477509,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.9607702107358118}",25,1,-78.12773103896122,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 1}",1
41,False,"{'a': 0.4, 'e': 0.959809440525076}",20,0,-135.293851508116,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.4, 'e': 0.9588496310845509}",20,0,-51.4796513847758,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.9578907814534663}",20,0,-106.41724232156106,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
44,False,"{'a': 0.4, 'e': 0.9569328906720129}",20,0,-105.92905936414961,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9559759577813408}",25,0,-98.19002519707419,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.9550199818235595}",20,8,-39.71934412857291,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
47,False,"{'a': 0.4, 'e': 0.954064961841736}",25,0,-110.06134443654248,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.9531108968798943}",20,16,5.5485539281285154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.9521577859830144}",25,0,-163.84279677447714,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.4, 'e': 0.9512056281970314}",25,0,-107.60434882038018,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.4, 'e': 0.9502544225688343}",35,0,-50.60853921254117,"{0: 24, 1: 7, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.9493041681462654}",25,0,-149.21259835132554,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.4, 'e': 0.9483548639781192}",35,0,-134.63230128358165,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
54,False,"{'a': 0.4, 'e': 0.947406509114141}",30,0,-179.00711216644729,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.4, 'e': 0.9464591026050269}",20,0,-107.96214275592571,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.9455126435024219}",25,1,-109.47469379404268,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 2}",1
57,False,"{'a': 0.4, 'e': 0.9445671308589194}",20,12,-23.018322774796474,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.9436225637280605}",20,0,-114.73876852504151,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.9426789411643325}",25,0,-69.16116069869834,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.9417362622231682}",25,0,-77.18145997044869,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.9407945259609449}",25,0,-152.32251556373208,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.4, 'e': 0.9398537314349841}",20,0,-89.25658150117822,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.9389138777035491}",20,0,-158.69589918645528,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.4, 'e': 0.9379749638258454}",25,0,-130.81360609742458,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.4, 'e': 0.9370369888620197}",25,0,-77.39930122956397,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.9360999518731576}",20,0,-186.73690720641895,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
67,False,"{'a': 0.4, 'e': 0.9351638519212845}",20,0,-34.94821020365309,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.4, 'e': 0.9342286880693632}",25,0,-66.76178516197938,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.9332944593812939}",20,12,-44.73599663980918,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.4, 'e': 0.9323611649219126}",20,0,-138.01685878025563,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
71,False,"{'a': 0.4, 'e': 0.9314288037569907}",20,0,-60.480147571155996,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.4, 'e': 0.9304973749532336}",35,0,-87.40015185750215,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.4, 'e': 0.9295668775782804}",25,0,-76.81785831997593,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.4, 'e': 0.9286373107007021}",30,0,-151.60859710948495,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
75,False,"{'a': 0.4, 'e': 0.9277086733900014}",20,0,-112.80327717336726,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.4, 'e': 0.9267809647166114}",20,0,-123.98081584333852,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.9258541837518948}",25,0,-155.98656821418265,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
78,False,"{'a': 0.4, 'e': 0.9249283295681429}",35,0,-194.34759482993795,"{0: 18, 1: 3, 2: 10, 3: 3, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.9240034012385747}",25,0,-129.0332299220828,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.4, 'e': 0.9230793978373362}",35,2,-160.3522132310984,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 2}",1
81,False,"{'a': 0.4, 'e': 0.9221563184394989}",30,0,-39.45584283005152,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
82,False,"{'a': 0.4, 'e': 0.9212341621210594}",20,0,-48.28562370762423,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.9203129279589383}",25,5,-1.622105739550237,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.9193926150309794}",20,3,-32.752358385653714,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.9184732224159483}",30,0,-77.88055794516838,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
86,False,"{'a': 0.4, 'e': 0.9175547491935324}",35,0,-177.28628717265366,"{0: 19, 1: 3, 2: 10, 3: 2, 4: 1}",0
87,False,"{'a': 0.4, 'e': 0.9166371944443389}",35,0,-99.00891092391663,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.4, 'e': 0.9157205572498945}",25,2,-46.991219631325436,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.4, 'e': 0.9148048366926447}",20,0,-27.720730793320126,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.4, 'e': 0.913890031855952}",30,0,-240.32512438412914,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
91,False,"{'a': 0.4, 'e': 0.912976141824096}",20,0,-66.92550844486466,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
