trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2}",20,0,-69.98350554618631,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 2}",20,0,-58.28606120302693,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 2}",20,0,-87.74313864920512,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 2}",20,0,-165.21881256131337,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 2}",30,0,-103.30997712396274,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 2}",25,0,-93.77235947655285,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 2}",25,0,-203.66377799415733,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 2}",20,0,-117.63303190331274,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 2}",20,0,-154.08308806847947,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 2}",20,16,8.911991857519363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 2}",25,0,-112.58163135863333,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 2}",25,0,-80.959560253048,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 2}",20,14,-39.24999103334116,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 2}",20,0,-81.44575720176718,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 2}",30,0,-205.9013740912715,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 2}",20,0,-77.55030859607474,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 2}",25,0,-106.96859037359087,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 2}",20,0,-144.04369464660198,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 2}",35,9,-72.72519724167155,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 2}",35,0,-180.23058819211005,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 2}",20,0,-94.57094085358133,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 2}",20,5,-87.08418170824915,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 1}",1
3,True,"{'a': 0.5, 'e': 2}",20,0,-103.54453468957466,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 2}",20,0,-205.3136433202931,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 2}",25,0,-113.42793513646951,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 2}",30,0,-78.71286322940554,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 2}",20,0,-120.78866544079285,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 2}",30,0,-164.44954344595985,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 2}",25,0,-158.11364550812954,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 2}",20,2,-94.13273520349684,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 0}",1
